fs_recode,laptop_recode,VEH,english_hh,single_parent,nonfamily,HINCP,HUGCL,children,good_english_speaker,multigen,NR,unmarried_partner,samesex_marriage,tenure_own
0.0,1.0,6.0,0.0,1.0,0.0,140000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,3.0,1.0,0.0,1.0,123000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,1.0,18600.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,9600.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,1.0,0.0,0.0,483000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,1.0,75010.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,3.0,1.0,1.0,0.0,90000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,3.0,0.0,0.0,0.0,285300.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,32000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,1.0,0.0,71000.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,17100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,82000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,1.0,0.0,0.0,79000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
